PeakID,Timepoint,Amplitude,Position (px),Sigma (px),Instantaneous diffusion coefficient
511,235,4.110112134986905,144.2865353559523,3.6655847980066785,0.0009592782492080479
513,236,3.6291294577970272,144.40617454672034,3.7154639046953175,0.0008997854774419928
515,237,3.173244429961414,144.453822269074,3.776551861388968,0.0008328434311266157
518,238,3.013086136768437,144.31780496878517,3.876277849902364,0.000800918756170933
520,239,3.1066162377477036,144.07834579942093,3.8890586911277847,0.0008098071877571153
522,240,3.2892724856959843,143.83696822599256,3.8143111278178563,0.0008525597887025443
523,241,3.3253904600110205,143.77251947600584,3.76418139012351,0.0009034378084344615
525,242,3.2030657080530074,143.90612326693395,3.6568387136809886,0.0009386934589871494
527,243,3.129782529562421,144.09882553145647,3.399067779113683,0.0009534232366870038
529,244,3.2315951067012305,144.28871301265173,3.170047017646694,0.0009342560827200994
531,245,3.336652798117424,144.40435379764645,3.0452187438858664,0.0008716549408724325
533,246,3.290487865466367,144.48889645909915,2.9492767315043538,0.000814623913816348
535,247,3.1394002360112014,144.6008669343587,2.900750583175844,0.0007954931276758695
537,248,2.9453948433595434,144.735535124637,2.8417050856701707,0.0007928017470598161
539,249,2.8340045297031113,144.8318067910004,2.767123025581369,0.0007912713822183587
542,250,2.922538723439114,144.83355275399873,2.7770544026167348,0.0008143612109779635
543,251,3.2724675507931926,144.79414429891656,2.825475800500573,0.0009050743119749333
545,252,3.6564744260893494,144.70351974881459,2.8785070354507507,0.0010144289290706164
547,253,3.8730769492154313,144.56766328687337,2.96316574389077,0.0011181066505339763
549,254,4.03116324072938,144.4348489030699,3.083458808964497,0.001233144813564369
551,255,4.162684119723679,144.2740568486334,3.2449576317183695,0.0012916458990626172
553,256,4.120467478380575,144.12422118642044,3.347292140274396,0.0012645925147488487
555,257,3.968233125883601,144.03061300983185,3.3613707769006904,0.0012324764886402831
558,258,3.845570407606205,143.94283088511315,3.365365038380343,0.0012959306737265598
559,259,3.7078587902124105,143.85830157791258,3.3651226411295383,0.0014453706004864024
561,260,3.6314514209833364,143.79792363889604,3.3679462184680187,0.001620629305287065
563,261,3.664722353402793,143.72260718755962,3.357933672098772,0.001769683379170196
565,262,3.778969722837664,143.69182436305726,3.3351863822707015,0.0018816180110032238
567,263,3.9228113719654685,143.69394324783747,3.3900913949563134,0.0019499957699261642
569,264,3.9492982671064674,143.80542583701305,3.451259613464646,0.001963374332358798
571,265,3.81555655438596,144.12306015716172,3.4522485366173674,0.0019573169477806133
573,266,3.7482749339307877,144.4873893267837,3.4309709851123835,0.001951128707923169
575,267,3.838847405717362,144.69798386336362,3.371029619370478,0.0019527652408505806
577,268,4.0479194720874405,144.84206820912388,3.2684491236032365,0.0019504243539904432
579,269,4.272513460061704,144.99221569721777,3.1733172565795553,0.0019270310398040566
581,270,4.219412989747787,144.98422926281106,3.1491316341630724,0.0018935724250892941
583,271,3.9812437151211766,144.77118027825867,3.2265884571961854,0.0018665029783177427
585,272,3.839461299800739,144.4221499233464,3.378288645392261,0.001848206716214962
588,273,3.7058952190016745,144.07408377703342,3.432850016272169,0.0018420774729893652
590,274,3.5337684237768623,143.83616737822618,3.3727374479285768,0.0018499949711016253
592,275,3.3062145922361688,143.64917443661423,3.318159940371758,0.001869190256744459
595,276,2.9860836857484667,143.4710417987213,3.3443292846144916,0.0018886072484921143
597,277,2.7560845184644447,143.29356752809784,3.4346899302135676,0.0018796291009930978
599,278,2.6876723914992335,143.2283937995504,3.5042543175173537,0.0018379992449260455
601,279,2.7628644534547266,143.41102824481982,3.57904036997589,0.0017838385395571167
603,280,2.9510180181252132,143.60831737407733,3.5964978964616323,0.0017661370677465548
605,281,3.0714387831493646,143.72757035769067,3.5771770143715886,0.0018512477828526962
606,282,3.053842592961624,143.86257154334825,3.6283955878479497,0.0019651769588929797
608,283,2.9536307828702486,143.942685975931,3.7282666203997064,0.0020086827398621437
610,284,2.7963666524136293,143.94660491626797,3.780830052254855,0.0019708916347811038
612,285,2.7187756577502658,143.9377770521347,3.7956675213532787,0.001834793717611986
614,286,2.9114178192578684,143.9171117358233,3.7761803488184427,0.0016190196950306706
616,287,3.266994739352386,143.83672186195813,3.6978884924103532,0.0014009728967095186
618,288,3.5068307666022704,143.71517230806867,3.581305696141477,0.0012397181040572657
620,289,3.5844997735433695,143.6121052910924,3.4793709309599548,0.0011428945843915423
622,290,3.6512573796151644,143.53664446968313,3.427498460213763,0.0010992465936665553
624,291,3.6293309876708544,143.4372748026733,3.412482554946262,0.0010899653924417655
626,292,3.4162785892792735,143.26663821736997,3.4476704616349383,0.0010865427661527903
628,293,3.2169888176451,143.01787181523088,3.5400857505789243,0.0010580623105482007
630,294,3.0384316531557882,142.72455905021513,3.6567988713063606,0.0009967636670021388
632,295,2.8235341653056505,142.41801951053426,3.7727941036012176,0.0009533098998347487
634,296,2.7617006486613502,142.1736473157067,3.756122189132061,0.0009459434932701586
636,297,2.83997113828654,142.1183990126124,3.640990675076154,0.0009524246763880545
638,298,2.9927900153542204,142.23705077508276,3.533671890158687,0.000961619337037265
640,299,3.2201537616422584,142.3817484841539,3.44758695950422,0.0009623161268148603
642,300,3.4932541811855264,142.4491559000793,3.4296392188365767,0.0009618561556756542
644,301,3.7753572387377314,142.40666453184636,3.4336350150473223,0.0009863112011919968
646,302,3.9871223128665014,142.33913168772162,3.4700431673914425,0.0010337411906956645
648,303,3.94775223778233,142.3184469534904,3.5045765011140295,0.001079194397216492
650,304,3.6762233588259607,142.3803888534307,3.480937317758487,0.0010909066905292943
653,305,3.47102745849435,142.4788518453068,3.479523770858051,0.0010514910819474383
655,306,3.381758343462792,142.50408837129808,3.5036003686848214,0.0009425172409650918
657,307,3.2486118370965706,142.49732519889363,3.5232253592786855,0.0007733487905839396
658,308,3.0767450080787877,142.5733546924655,3.563630647735626,0.0005968203768411075
660,309,2.9513134256671814,142.62876438308345,3.643554169209352,0.00048023204946049986
662,310,2.923795217511802,142.48188154403218,3.7469179931372456,0.00043906420925757386
664,311,3.029033619053974,142.2880975650059,3.7677523229214356,0.0004352482810807194
666,312,3.240593919597668,142.2676461307338,3.6698950862443236,0.0004263875566988759
668,313,3.3758999849090032,142.32452295114814,3.5274025675812104,0.000413561926832336
670,314,3.258157398749295,142.4014242106329,3.397053273771872,0.0004108676585773696
672,315,3.101009127486596,142.57570116533492,3.276999002804235,0.0004134265346787453
674,316,3.064445454499386,142.78883099806288,3.1904173400418556,0.00041758790332454085
676,317,3.0953174959941743,142.98948865326383,3.150328506413122,0.0004175421351103136
678,318,3.1179722106661414,143.1100284337321,3.1502136261943567,0.0004200877667598629
680,319,3.1830817596303866,143.14205768583616,3.2314314172635745,0.0004315020757366289
683,320,3.375039583575173,143.19871512760074,3.3976181387494497,0.0004329201521471564
685,321,3.5039674714303235,143.2609126540569,3.576993625919004,0.0004385100246798706
687,322,3.5378342796395303,143.34701519325512,3.7377223674413873,0.0004918691415474056
688,323,3.6073665947023703,143.34444807708383,3.742309515725372,0.0006739558859546266
690,324,3.714142844576585,143.25814225216328,3.5685887580686564,0.0009393252030439922
692,325,3.848919227263488,143.28299888443163,3.3693373146840604,0.001155331546769622
