Timepoint,Intensity,Step
169,43.624807150393316,35.94987960781436
170,29.86267144277076,35.94987960781436
171,17.177539813767716,35.94987960781436
172,22.164327319823588,35.94987960781436
173,50.77275296168812,35.94987960781436
174,17.784083896471675,35.94987960781436
175,24.736369755327452,35.94987960781436
176,41.08531806894669,35.94987960781436
177,30.676028225089258,35.94987960781436
178,49.12538277526055,35.94987960781436
179,45.5680994650439,35.94987960781436
180,14.496669015669893,35.94987960781436
181,39.76326000368485,35.94987960781436
182,25.77098770615948,35.94987960781436
183,39.823443823948736,35.94987960781436
184,32.68580952056713,35.94987960781436
185,40.25951284542892,35.94987960781436
186,31.587389649584114,35.94987960781436
187,36.130492496473885,35.94987960781436
188,40.22549048934688,35.94987960781436
189,30.581240593027825,35.94987960781436
190,36.122537720035105,35.94987960781436
191,32.30387894797712,35.94987960781436
192,25.876100640661818,35.94987960781436
193,25.85549535887851,35.94987960781436
194,42.113732452515,35.94987960781436
195,17.726617839417546,35.94987960781436
196,26.876268367799394,35.94987960781436
197,31.886452140299955,35.94987960781436
198,18.496601926038867,35.94987960781436
199,7.879044609989768,35.94987960781436
200,53.90342726785034,35.94987960781436
201,48.52701626476121,35.94987960781436
202,29.178325960144647,35.94987960781436
203,31.44928420759218,35.94987960781436
204,42.96042954288933,35.94987960781436
205,45.860570690546616,35.94987960781436
206,48.18922449967559,35.94987960781436
207,32.383161697298625,35.94987960781436
208,26.926809769791674,35.94987960781436
209,29.840663993585498,35.94987960781436
210,28.100819379549648,35.94987960781436
211,26.405576273214397,35.94987960781436
212,27.724250465676917,35.94987960781436
213,19.604719357465274,35.94987960781436
214,15.904713942328216,35.94987960781436
215,26.580501425262913,35.94987960781436
216,39.05030253372903,35.94987960781436
217,34.07746541881618,35.94987960781436
218,67.40978412568917,35.94987960781436
219,23.184038051620647,35.94987960781436
220,11.274270319009746,35.94987960781436
221,19.582634376571477,35.94987960781436
222,38.436392053660214,35.94987960781436
223,38.02868966829091,35.94987960781436
224,38.31984364056356,35.94987960781436
225,35.38493708668849,35.94987960781436
226,19.434202610678728,35.94987960781436
227,25.49536745480138,35.94987960781436
228,27.160490330094255,35.94987960781436
229,55.70159446566831,35.94987960781436
230,44.61388756385531,35.94987960781436
231,23.729410626588823,35.94987960781436
232,18.84889335225994,35.94987960781436
233,13.048491334830402,0.19048491334830403
234,1.5,0.19048491334830403
235,0.0,0.19048491334830403
236,0.0,0.19048491334830403
237,0.0,0.19048491334830403
