Timepoint,Track1 ID,Track2 ID,Peak1 ID,Peak2 ID,Peak1 pos (px),Peak2 pos (px),Displacement1 (px),Displacement2 (px),Initial separation (px),R2,Intercept
90,3,3,219,272,140.8363325114085,140.30219993895776,4.431341848236997,3.4739018312541248,0.4233074445321279,0.9624279339276353,-0.4575072618765812
91,3,3,221,275,140.7978532544517,140.24806526147552,4.392862591280192,3.419767153771886,0.4233074445321279,0.9624279339276353,-0.4575072618765812
92,3,3,224,278,140.7427460137724,140.4582626122137,4.337755350600901,3.6299645045100704,0.4233074445321279,0.9624279339276353,-0.4575072618765812
93,3,3,226,281,140.60901780132352,140.65945941682006,4.204027138152014,3.8311613091164247,0.4233074445321279,0.9624279339276353,-0.4575072618765812
94,3,3,228,284,140.56102553767278,140.75720533762015,4.156034874501273,3.9289072299165184,0.4233074445321279,0.9624279339276353,-0.4575072618765812
95,3,3,230,287,140.7342009213765,140.90907278561073,4.329210258204995,4.080774677907101,0.4233074445321279,0.9624279339276353,-0.4575072618765812
96,3,3,232,290,141.00021383499603,141.1132655152804,4.595223171824529,4.284967407576772,0.4233074445321279,0.9624279339276353,-0.4575072618765812
97,3,3,234,293,141.2689057826645,141.33398146692224,4.863915119492987,4.505683359218608,0.4233074445321279,0.9624279339276353,-0.4575072618765812
98,3,3,236,296,141.4540281454737,141.56037743008244,5.049037482302197,4.732079322378809,0.4233074445321279,0.9624279339276353,-0.4575072618765812
99,3,3,238,299,141.46070745545364,141.5281871134878,5.055716792282141,4.699889005784172,0.4233074445321279,0.9624279339276353,-0.4575072618765812
100,3,3,240,302,141.29557502720002,141.2406531944822,4.890584364028513,4.412355086778575,0.4233074445321279,0.9624279339276353,-0.4575072618765812
